City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Ushuaia,AR,-54.8,-68.3,46.02,65,75,21.85,broken clouds,2022-07-28 20:03:47
1,Atuona,PF,-9.8,-139.0333,76.73,77,28,24.96,light rain,2022-07-28 20:04:11
2,Port-Gentil,GA,-0.7193,8.7815,75.16,83,40,8.05,scattered clouds,2022-07-28 20:02:27
3,Busselton,AU,-33.65,115.3333,59.81,83,100,18.52,overcast clouds,2022-07-28 20:03:54
4,Novyy Buyan,RU,53.6861,50.0469,68.16,74,64,5.95,broken clouds,2022-07-28 20:06:12
5,Panjab,AF,34.388,67.0233,60.48,51,6,5.12,clear sky,2022-07-28 20:06:13
6,Sao Luiz Gonzaga,BR,-28.4083,-54.9608,64.22,91,100,15.03,overcast clouds,2022-07-28 20:06:13
7,Bethel,US,41.3712,-73.414,89.69,69,40,10.36,scattered clouds,2022-07-28 20:05:11
8,Albany,US,42.6001,-73.9662,89.58,56,100,7.49,overcast clouds,2022-07-28 20:03:54
9,Venezuela,VE,8.0,-66.0,88.09,55,44,0.81,scattered clouds,2022-07-28 20:06:14
10,Punta Arenas,CL,-53.15,-70.9167,42.91,87,75,23.02,light intensity shower rain,2022-07-28 20:03:54
11,Castro,BR,-24.7911,-50.0119,68.83,54,100,8.08,overcast clouds,2022-07-28 20:03:51
12,Izberbash,RU,42.5696,47.8645,75.25,69,0,1.74,clear sky,2022-07-28 20:06:14
13,Korla,CN,41.7597,86.1469,90.88,16,99,15.79,overcast clouds,2022-07-28 20:06:14
14,Nouadhibou,MR,20.931,-17.0347,73.85,76,0,30.91,clear sky,2022-07-28 20:06:15
15,East London,ZA,-33.0153,27.9116,69.85,57,15,16.93,few clouds,2022-07-28 20:00:14
16,Tuktoyaktuk,CA,69.4541,-133.0374,41.18,87,100,24.2,light rain,2022-07-28 20:01:25
17,Jamestown,US,42.097,-79.2353,82.02,41,20,14.97,few clouds,2022-07-28 20:02:17
18,Hobart,AU,-42.8794,147.3294,42.66,83,75,11.5,broken clouds,2022-07-28 20:00:39
19,Hermanus,ZA,-34.4187,19.2345,57.63,74,0,13.47,clear sky,2022-07-28 19:59:32
20,Mannarakkat,IN,10.9833,76.4667,75.47,97,97,2.08,overcast clouds,2022-07-28 20:06:16
21,Atasu,KZ,48.6814,71.6433,66.9,70,73,6.8,broken clouds,2022-07-28 20:02:15
22,Provideniya,RU,64.3833,-173.3,48.96,84,97,3.78,overcast clouds,2022-07-28 20:02:25
23,Mikulovice,CZ,50.2985,17.3215,64.38,68,40,1.95,scattered clouds,2022-07-28 20:06:16
24,Biak,ID,-0.9131,122.8766,74.84,89,96,7.02,overcast clouds,2022-07-28 20:04:05
25,Roros,NO,62.5747,11.3842,46.24,81,55,2.3,broken clouds,2022-07-28 20:06:17
26,Nanortalik,GL,60.1432,-45.2371,45.43,81,39,6.78,scattered clouds,2022-07-28 20:04:11
27,Katsuura,JP,35.1333,140.3,79.38,91,64,8.99,broken clouds,2022-07-28 20:04:01
28,Port Pirie,AU,-33.1833,138.0167,46.33,61,100,7.63,overcast clouds,2022-07-28 20:06:17
29,Saskylakh,RU,71.9167,114.0833,61.2,82,100,6.11,light rain,2022-07-28 20:04:02
30,Leningradskiy,RU,69.3833,178.4167,39.69,79,95,6.22,overcast clouds,2022-07-28 20:05:12
31,Rikitea,PF,-23.1203,-134.9692,73.45,73,91,21.36,overcast clouds,2022-07-28 20:00:31
32,Cape Town,ZA,-33.9258,18.4232,60.89,81,75,19.57,broken clouds,2022-07-28 19:59:12
33,Longyearbyen,SJ,78.2186,15.6401,42.64,81,75,19.57,light intensity drizzle rain,2022-07-28 20:04:33
34,Phan Thiet,VN,10.9333,108.1,76.89,89,10,5.88,clear sky,2022-07-28 20:04:55
35,Vaini,TO,-21.2,-175.2,77.16,88,40,6.91,scattered clouds,2022-07-28 20:04:22
36,Sao Filipe,CV,14.8961,-24.4956,79.38,79,32,11.5,scattered clouds,2022-07-28 20:01:17
37,Russell,US,32.3502,-85.1999,92.35,52,0,3.44,clear sky,2022-07-28 20:06:18
38,Bakel,SN,14.905,-12.4568,88.99,58,90,16.22,overcast clouds,2022-07-28 20:06:19
39,Barrow,US,71.2906,-156.7887,33.4,99,100,12.33,light snow,2022-07-28 20:00:55
40,Hamilton,US,39.1834,-84.5333,90.95,52,40,11.5,scattered clouds,2022-07-28 20:02:34
41,Egvekinot,RU,66.3167,-179.1667,41.74,87,100,2.59,light rain,2022-07-28 20:01:41
42,Bandarbeyla,SO,9.4942,50.8122,76.6,81,59,26.87,broken clouds,2022-07-28 20:04:04
43,Lindi,TZ,-10.0,39.7167,67.68,91,9,4.25,clear sky,2022-07-28 20:06:19
44,Tubinskiy,RU,52.8892,58.2225,54.19,83,56,5.68,broken clouds,2022-07-28 20:06:20
45,Vila Franca Do Campo,PT,37.7167,-25.4333,73.81,77,11,3.49,few clouds,2022-07-28 20:02:33
46,Golden,US,39.7555,-105.2211,76.21,68,75,9.22,broken clouds,2022-07-28 20:05:40
47,Tura,IN,25.5198,90.2201,74.19,92,24,2.48,few clouds,2022-07-28 20:06:20
48,Ostrovnoy,RU,68.0531,39.5131,50.25,90,69,14.29,broken clouds,2022-07-28 20:05:18
49,Hithadhoo,MV,-0.6,73.0833,82.18,74,100,11.72,overcast clouds,2022-07-28 20:04:12
50,Tual,ID,-5.6667,132.75,78.19,86,78,22.82,broken clouds,2022-07-28 20:04:24
51,Bluff,NZ,-46.6,168.3333,47.8,75,100,11.74,light rain,2022-07-28 20:01:16
52,Nikolskoye,RU,59.7035,30.7861,61.81,78,100,3.74,overcast clouds,2022-07-28 20:04:03
53,Arlit,NE,18.7369,7.3853,86.63,48,100,28.41,overcast clouds,2022-07-28 20:04:10
54,Puerto Ayora,EC,-0.7393,-90.3518,78.76,91,77,8.99,broken clouds,2022-07-28 20:04:15
55,Swift Current,CA,50.2834,-107.8014,79.52,31,0,5.95,clear sky,2022-07-28 20:01:21
56,Mizdah,LY,31.4451,12.9801,85.05,29,12,11.43,few clouds,2022-07-28 20:06:22
57,Bambous Virieux,MU,-20.3428,57.7575,69.22,88,75,8.05,broken clouds,2022-07-28 20:04:27
58,Chuy,UY,-33.6971,-53.4616,50.32,89,100,14.76,overcast clouds,2022-07-28 20:04:20
59,Sitka,US,57.0531,-135.33,58.89,88,75,6.91,mist,2022-07-28 20:04:14
60,Gizo,SB,-8.103,156.8419,80.91,75,94,6.38,light rain,2022-07-28 20:06:22
61,Betare Oya,CM,5.6,14.0833,66.63,98,100,3.71,moderate rain,2022-07-28 20:06:23
62,Butaritari,KI,3.0707,172.7902,81.93,72,41,15.32,scattered clouds,2022-07-28 20:03:58
63,Ahipara,NZ,-35.1667,173.1667,56.3,73,99,10.71,overcast clouds,2022-07-28 20:06:23
64,Chagoda,RU,59.164,35.3285,54.77,98,99,4.07,overcast clouds,2022-07-28 20:06:23
65,Numan,NG,9.4667,12.0333,75.85,85,73,8.05,light rain,2022-07-28 20:06:24
66,Chokurdakh,RU,70.6333,147.9167,49.44,48,100,12.48,overcast clouds,2022-07-28 20:04:47
67,Ayagoz,KZ,47.9714,80.4392,72.54,33,5,8.93,clear sky,2022-07-28 20:03:23
68,Faanui,PF,-16.4833,-151.75,79.39,71,1,24.65,light rain,2022-07-28 20:00:48
69,Port Alfred,ZA,-33.5906,26.891,68.23,60,1,14.07,clear sky,2022-07-28 20:00:50
70,Palana,RU,59.1167,159.9667,48.2,73,89,2.37,overcast clouds,2022-07-28 20:06:24
71,Mataura,NZ,-46.1927,168.8643,47.48,98,100,3.13,overcast clouds,2022-07-28 20:03:49
72,Olden,NO,61.8364,6.8064,61.54,69,25,3.42,scattered clouds,2022-07-28 20:06:25
73,Gornyy,RU,55.1153,83.9059,57.45,87,11,6.64,few clouds,2022-07-28 20:06:25
74,Vanimo,PG,-2.6741,141.3028,76.21,91,38,5.3,scattered clouds,2022-07-28 20:06:25
75,Kenai,US,60.5544,-151.2583,68.02,47,0,9.22,clear sky,2022-07-28 20:06:26
76,Guerrero Negro,MX,27.9769,-114.0611,79.21,55,21,13.94,few clouds,2022-07-28 20:01:35
77,Ishigaki,JP,24.3448,124.1572,85.03,75,8,9.24,clear sky,2022-07-28 20:04:03
78,Brigantine,US,39.4101,-74.3646,91.2,61,84,15.46,broken clouds,2022-07-28 20:06:26
79,Klaksvik,FO,62.2266,-6.589,52.72,91,84,15.01,broken clouds,2022-07-28 20:04:47
80,Kapaa,US,22.0752,-159.319,82.38,75,100,5.75,moderate rain,2022-07-28 20:03:49
81,Bengkulu,ID,-3.8004,102.2655,75.29,90,87,5.14,overcast clouds,2022-07-28 19:59:36
82,Kyren,RU,51.6828,102.1408,53.2,91,55,1.92,broken clouds,2022-07-28 20:06:27
83,Shubarshi,KZ,48.5872,57.1869,76.24,47,58,6.35,broken clouds,2022-07-28 20:06:27
84,Hofn,IS,64.2539,-15.2082,51.44,93,100,1.74,overcast clouds,2022-07-28 20:06:28
85,Kruisfontein,ZA,-34.0033,24.7314,59.85,65,0,7.76,clear sky,2022-07-28 20:01:11
86,Sorong,ID,-0.8833,131.25,77.61,86,71,4.63,broken clouds,2022-07-28 20:05:25
87,Gamba,GA,-2.65,10.0,71.2,85,100,3.42,overcast clouds,2022-07-28 20:06:28
88,Rio Gallegos,AR,-51.6226,-69.2181,44.65,65,0,33.38,clear sky,2022-07-28 20:06:29
89,Burns Lake,CA,54.2331,-125.7533,87.17,24,2,3.58,clear sky,2022-07-28 20:06:29
90,Kachug,RU,53.9606,105.8817,53.29,97,100,3.04,light rain,2022-07-28 20:06:29
91,Dikson,RU,73.5069,80.5464,43.39,100,100,15.93,overcast clouds,2022-07-28 20:04:00
92,Khatanga,RU,71.9667,102.5,59.31,69,53,5.06,broken clouds,2022-07-28 20:00:44
93,Lewistown,US,40.5992,-77.5714,86.14,86,0,8.05,clear sky,2022-07-28 20:06:30
94,Pangnirtung,CA,66.1451,-65.7125,52.72,73,68,5.77,broken clouds,2022-07-28 20:06:11
95,Mahebourg,MU,-20.4081,57.7,69.26,88,75,8.05,broken clouds,2022-07-28 20:05:00
96,Moree,AU,-29.4667,149.85,42.24,83,0,7.23,clear sky,2022-07-28 20:06:30
97,Codrington,AU,-38.2667,141.9667,44.92,77,13,5.17,few clouds,2022-07-28 20:06:31
98,Vardo,NO,70.3705,31.1107,48.18,93,100,18.41,overcast clouds,2022-07-28 20:05:58
99,Lebu,CL,-37.6167,-73.65,52.43,78,0,14.45,clear sky,2022-07-28 20:05:00
100,Salalah,OM,17.0151,54.0924,77.09,94,100,5.75,overcast clouds,2022-07-28 20:05:29
101,Strezhevoy,RU,60.7333,77.5889,53.46,87,8,7.09,clear sky,2022-07-28 20:06:31
102,Taungdwingyi,MM,20.0167,95.55,80.28,76,50,4.56,scattered clouds,2022-07-28 20:06:32
