City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Atuona,PF,76.73,light rain,-9.8,-139.0333,Villa Enata
2,Port-Gentil,GA,75.16,scattered clouds,-0.7193,8.7815,Fengshui Residence
4,Novyy Buyan,RU,68.16,broken clouds,53.6861,50.0469,“Домик Пчеловода”. Загородное эко-шале
5,Panjab,AF,60.48,clear sky,34.388,67.0233,
6,Sao Luiz Gonzaga,BR,64.22,overcast clouds,-28.4083,-54.9608,"Hotel Ipê ""Sob nova Direção"""
7,Bethel,US,89.69,scattered clouds,41.3712,-73.414,Courtyard by Marriott Danbury
8,Albany,US,89.58,overcast clouds,42.6001,-73.9662,
9,Venezuela,VE,88.09,scattered clouds,8.0,-66.0,
11,Castro,BR,68.83,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
12,Izberbash,RU,75.25,clear sky,42.5696,47.8645,Ramina
14,Nouadhibou,MR,73.85,clear sky,20.931,-17.0347,El Medina
15,East London,ZA,69.85,few clouds,-33.0153,27.9116,Tu Casa
17,Jamestown,US,82.02,few clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
20,Mannarakkat,IN,75.47,overcast clouds,10.9833,76.4667,The Park Residency
21,Atasu,KZ,66.9,broken clouds,48.6814,71.6433,Dostyk
23,Mikulovice,CZ,64.38,scattered clouds,50.2985,17.3215,Škárkovic statek
24,Biak,ID,74.84,overcast clouds,-0.9131,122.8766,Penginapan Kim
27,Katsuura,JP,79.38,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
29,Saskylakh,RU,61.2,light rain,71.9167,114.0833,
31,Rikitea,PF,73.45,overcast clouds,-23.1203,-134.9692,People ThankYou
32,Cape Town,ZA,60.89,broken clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
34,Phan Thiet,VN,76.89,clear sky,10.9333,108.1,Hotel Saigon-PT
35,Vaini,TO,77.16,scattered clouds,-21.2,-175.2,Keleti Beach Resort
36,Sao Filipe,CV,79.38,scattered clouds,14.8961,-24.4956,Hotel Xaguate
38,Bakel,SN,88.99,overcast clouds,14.905,-12.4568,Ablaye Diallo Bakel
42,Bandarbeyla,SO,76.6,broken clouds,9.4942,50.8122,JABIR HOTEL
43,Lindi,TZ,67.68,clear sky,-10.0,39.7167,Lindi paradise house
